CVE-2025-30258	gpgv	2.2.27-2+deb11u2		LOW	https://avd.aquasec.com/nvd/cve-2025-30258
CVE-2022-1271	gzip	1.10-4	1.10-4+deb11u1	HIGH	https://avd.aquasec.com/nvd/cve-2022-1271
CVE-2011-3374	libapt-pkg6.0	2.2.4		LOW	https://avd.aquasec.com/nvd/cve-2011-3374
CVE-2023-4039	libasan6	10.2.1-6		LOW	https://avd.aquasec.com/nvd/cve-2023-4039
CVE-2023-4039	libatomic1	10.2.1-6		LOW	https://avd.aquasec.com/nvd/cve-2023-4039
CVE-2017-13716	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2017-13716
CVE-2018-20673	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-20673
CVE-2018-20712	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-20712
CVE-2018-9996	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2018-9996
CVE-2019-1010204	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2019-1010204
CVE-2020-19726	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2020-19726
CVE-2020-35448	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2020-35448
CVE-2021-20197	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-20197
CVE-2021-20284	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-20284
CVE-2021-32256	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-32256
CVE-2021-3530	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-3530
CVE-2021-3549	libbinutils	2.35.2-2		LOW	https://avd.aquasec.com/nvd/cve-2021-3549
